City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cape Town,ZA,72.0,scattered clouds,-33.9258,18.4232,Atlanticview Cape Town Boutique Hotel
3,Beihai,CN,72.3,few clouds,21.4833,109.1,"Shangri-La Hotel, Beihai"
4,Mocuba,MZ,74.01,broken clouds,-16.8392,36.9856,Sumeia Hotel
6,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,Hotel Las Brisas Acapulco
10,Alappuzha,IN,81.82,clear sky,9.49,76.3264,Lemon Dew Beach House
13,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Holiday Inn Mauritius Mon Tresor
15,Rikitea,PF,80.08,light rain,-23.1203,-134.9692,Pension Bianca & Benoit
17,Salinopolis,BR,83.43,broken clouds,-0.6136,-47.3561,Hotel Concha do Mar
22,Isla Aguada,MX,80.6,clear sky,18.7833,-91.4667,Cabañas Laguna
29,Vaini,TO,73.4,scattered clouds,-21.2,-175.2,Paradise First Hotel
30,Geraldton,AU,78.8,clear sky,-28.7667,114.6,Ocean Centre Hotel
31,Los Santos,PA,84.2,scattered clouds,7.9333,-80.4167,Hotel Los Guayacanes
36,Upington,ZA,73.4,broken clouds,-28.4478,21.2561,DREAMSTAY UPINGTON
37,Puerto Ayora,EC,82.99,scattered clouds,-0.7393,-90.3518,Galapagos Habitat by Eco Luxury Group
48,Andros Town,BS,77.0,scattered clouds,24.7,-77.7667,Dream Villas
49,Carnarvon,AU,80.6,few clouds,-24.8667,113.6333,Carnarvon Sea Change Apartments
59,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Metro Hotel
60,Castro,BR,81.95,clear sky,-24.7911,-50.0119,Pousada Rota Dos Tropeiros
68,Sibolga,ID,77.13,broken clouds,1.7427,98.7792,Hotel Wisata Indah
72,Hithadhoo,MV,84.58,broken clouds,-0.6,73.0833,Pebbles Inn
76,Arraial Do Cabo,BR,89.6,few clouds,-22.9661,-42.0278,Orlanova Boutique Hotel
77,Noumea,NC,71.6,clear sky,-22.2763,166.4572,Nouvata
78,Malpe,IN,82.4,scattered clouds,13.35,74.7167,Malpe Sea Front Cottages
79,Vila Velha,BR,87.01,scattered clouds,-20.3297,-40.2925,Golden Tulip Porto Vitória
83,Port Alfred,ZA,71.01,scattered clouds,-33.5906,26.891,MyPond Hotel
84,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,La Hacienda Hotel
89,Itaituba,BR,86.0,scattered clouds,-4.2761,-55.9836,"Acácia Hotel, Restaurante e Eventos - Itaituba-PA"
95,Acajutla,SV,80.6,clear sky,13.5928,-89.8275,Villavela Hotel Boutique
